"iccid","msisdn","startTime(UTC)","endTime(UTC)","bytes","mcc","mnc","promotionName"
"'8944503005179876182","'882360002504328","2018-05-01 09:00:00","2018-05-01 09:00:03","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'89011703278161153823","'882350816115382","2018-05-01 09:00:00","2018-05-01 09:00:37","12288","'302","'610","UKAT 100MB@5.50 OU 0.20 USD TFS Z1"
"'8944500501169457382","'882360001199738","2018-05-01 09:00:00","2018-05-01 09:30:00","1024","'302","'610","UKJ BES5 LR@14 USD PER MB"
"'8944200007315022172","'447414412218","2018-05-01 09:00:00","2018-05-01 09:00:00","156672","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944503005179790482","'882360002495758","2018-05-01 09:00:00","2018-05-01 09:04:18","1024","'234","'30","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'89011703278161154078","'882350816115407","2018-05-01 09:00:00","2018-05-01 09:00:19","3072","'302","'610","UKAT 100MB@5.50 OU 0.20 USD TFS Z1"
"'8944500410169153290","'882360001443829","2018-05-01 09:00:00","2018-05-01 09:08:30","1024","'310","'260","UKJ 1MB@1.35 OU 0.65 USD PGE Z2"
"'8944502010148215398","'447509149539","2018-05-01 09:00:00","2018-05-01 09:07:06","3072","'310","'410","UKJ 5MB@2.89 OU 0.80 USD Fleetside GPS"
"'8901260881214166919","'18169450788","2018-05-01 09:00:00","2018-05-01 09:10:03","3146752","'310","'260","UKTM 1GB@8.99 OU 0.008 USD Non Pooled"
"'8944501505158367865","'447937564786","2018-05-01 09:00:01","2018-05-01 09:05:27","12288","'226","'01","UKJ 25MB@4.78 OU 0.60"
"'8944503005178012730","'882360002163453","2018-05-01 09:00:01","2018-05-01 09:07:05","2048","'310","'410","UKJ 3MB@0.99 OU 0.80 USD ATrck"
"'8944500510178244020","'882360002715157","2018-05-01 09:00:01","2018-05-01 09:00:16","1024","'234","'30","UKJ 100MB@3.25 OU 0.30 GBP PCM"
"'8944502511169350915","'882360001616591","2018-05-01 09:00:01","2018-05-01 09:04:02","52224","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169554490","'882360001636949","2018-05-01 09:00:01","2018-05-01 09:30:01","1024","'302","'610","UKJ BES5 LR@14 USD PER MB"
"'8944502810151714819","'882360001096941","2018-05-01 09:00:01","2018-05-01 09:30:01","1024","'234","'50","UKJ BES5 LR@14 USD PER MB"
"'8944501702168706238","'447937566966","2018-05-01 09:00:01","2018-05-01 09:01:07","1024","'310","'260","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944502511169494127","'882360001630912","2018-05-01 09:00:01","2018-05-01 09:01:10","3072","'310","'260","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944200007315025670","'447414412568","2018-05-01 09:00:01","2018-05-01 09:00:01","16384","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944503005179872579","'882360002503967","2018-05-01 09:00:01","2018-05-01 09:00:17","2048","'234","'10","UKJ EU 10MB@1.96 OU 0.30 GBP IoTSIM"
"'8944501702168765275","'882360001279370","2018-05-01 09:00:01","2018-05-01 09:00:44","4096","'262","'03","UKJ 40MB@5.90 OU 0.20 GBP"
"'8944200103299006032","'447453021360","2018-05-01 09:00:01","2018-05-01 09:00:01","354304","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944502511169520459","'882360001633545","2018-05-01 09:00:01","2018-05-01 09:00:03","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501505158355811","'447937563581","2018-05-01 09:00:01","2018-05-01 09:01:54","1024","'234","'10","UKJ 2MB@4.75 OU 1.95 USD"
"'8944501512158579341","'447509742777","2018-05-01 09:00:01","2018-05-01 09:06:00","1024","'214","'01","UKJ BES5 LR@14 USD PER MB"
"'8944501702168724033","'882360001275246","2018-05-01 09:00:01","2018-05-01 09:39:30","7168","'310","'260","UKJ 6MB@2.25 OU 0.65 USD GEO"
"'8944502511169694825","'882360001650982","2018-05-01 09:00:02","2018-05-01 09:01:53","1024","'214","'03","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944503005178103455","'882360002172525","2018-05-01 09:00:02","2018-05-01 09:03:25","57344","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944500606138132253","'447937878225","2018-05-01 09:00:02","2018-05-01 09:00:28","1024","'310","'410","UKJ 15MB@3.91 OU .65 USD"
"'8944502010148259222","'447509153922","2018-05-01 09:00:02","2018-05-01 09:00:36","1024","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501702168689509","'882360001273793","2018-05-01 09:00:02","2018-05-01 09:04:01","71680","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351079","'882360001616607","2018-05-01 09:00:02","2018-05-01 09:04:01","58368","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178103596","'882360002172539","2018-05-01 09:00:02","2018-05-01 09:04:05","73728","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618006","'447937721643","2018-05-01 09:00:02","2018-05-01 09:04:06","98304","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684666","'882360001273309","2018-05-01 09:00:02","2018-05-01 09:04:06","70656","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168617867","'447937721629","2018-05-01 09:00:02","2018-05-01 09:04:09","69632","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502010148264354","'447509154435","2018-05-01 09:00:02","2018-05-01 09:15:01","9216","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502010148263075","'447509154307","2018-05-01 09:00:02","2018-05-01 09:15:11","9216","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502511169562436","'882360001637743","2018-05-01 09:00:02","2018-05-01 09:16:25","3072","'334","'03","UKJ 3MB@1.75 OU 0.60 USD GFM Z2"
"'8944503005179875952","'882360002504305","2018-05-01 09:00:02","2018-05-01 09:00:03","1024","'214","'03","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502511169394723","'882360001620972","2018-05-01 09:00:02","2018-05-01 09:00:09","1024","'234","'30","UKJ 100MB@4.47 OU 0.10 GBP CYP"
"'8944500606138132394","'447937878239","2018-05-01 09:00:02","2018-05-01 09:00:11","1024","'310","'260","UKJ 15MB@3.91 OU .65 USD"
"'8944501201168617396","'447937721582","2018-05-01 09:00:02","2018-05-01 09:04:04","77824","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
